round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAdagrad,balanced,1,0,0,1954324947
1,0.6672187144187972,0.6621937726729441,0.6096666892946847,0.9296139116033537,0.7363889799934404,0.7307754052005988,0.6672187144187972,0.6426121155931277,3911,5750,680,8981,0.9296139116033537,0.40482351723424076,0.6672187144187972,0.8243652555295998,0.8214392956934811,19322,FedAdagrad,balanced,1,0,0,1954324947
2,0.7376048028154435,0.6417563849969268,0.725291981548729,0.7649311665459062,0.7445843828715365,0.7383166356884124,0.7376048028154436,0.7374087179867952,6862,2799,2271,7390,0.7649311665459062,0.7102784390849809,0.7376048028154436,0.8245015174974006,0.8220258674100368,19322,FedAdagrad,balanced,1,0,0,1954324947
3,0.7392091915950729,0.6272630681906443,0.7184310018903591,0.7867715557395715,0.7510498493157453,0.7413934922515169,0.7392091915950729,0.7386178986295077,6682,2979,2060,7601,0.7867715557395715,0.6916468274505745,0.7392091915950729,0.8285416237723069,0.8262926713079178,19322,FedAdagrad,balanced,1,0,0,1954324947
4,0.7449021840389194,0.6152241208890974,0.7496834107218235,0.735327605837905,0.7424361185138737,0.7449920202095812,0.7449021840389194,0.7448787964282086,7289,2372,2557,7104,0.735327605837905,0.7544767622399338,0.7449021840389194,0.8295563993673922,0.82744658506571,19322,FedAdagrad,balanced,1,0,0,1954324947
5,0.745885519097402,0.6048004837588512,0.7497109218963524,0.7382258565365905,0.7439240638364452,0.7459432374799327,0.7458855190974019,0.7458706092166304,7280,2381,2529,7132,0.7382258565365905,0.7535451816582134,0.7458855190974019,0.8308214135628829,0.8282673289402211,19322,FedAdagrad,balanced,1,0,0,1954324947
6,0.7489390332263741,0.5972982140157942,0.76492619519718,0.7187661732739882,0.7411281285020546,0.7498488844006204,0.7489390332263741,0.7487102586745389,7527,2134,2717,6944,0.7187661732739882,0.77911189317876,0.7489390332263741,0.8315692044138551,0.8287362836375544,19322,FedAdagrad,balanced,1,0,0,1954324947
7,0.7469206086326468,0.5890951005856833,0.7413740766973591,0.758410102473864,0.7497953336062219,0.7470510599611385,0.7469206086326468,0.7468871955989225,7105,2556,2334,7327,0.758410102473864,0.7354311147914294,0.7469206086326468,0.8347838747300167,0.8319413530163089,19322,FedAdagrad,balanced,1,0,0,1954324947
8,0.7516302660180105,0.5825162933038193,0.7572486772486773,0.740710071421178,0.7488880749306682,0.751750351590303,0.7516302660180105,0.7516006442333677,7367,2294,2505,7156,0.740710071421178,0.7625504606148432,0.7516302660180105,0.8371545736884485,0.8340108987128675,19322,FedAdagrad,balanced,1,0,0,1954324947
9,0.7481627160749404,0.5759426608565282,0.7432775240994419,0.7582030845668151,0.7506661201065792,0.7482628245827303,0.7481627160749404,0.7481373260507802,7131,2530,2336,7325,0.7582030845668151,0.7381223475830659,0.7481627160749404,0.8371030495649103,0.8339834061928,19322,FedAdagrad,balanced,1,0,0,1954324947
10,0.7527171100300176,0.5703537599926358,0.7530838602674407,0.7519925473553463,0.7525378081624198,0.7527176407280356,0.7527171100300176,0.7527169802086406,7279,2382,2396,7265,0.7519925473553463,0.753441672704689,0.7527171100300176,0.839055512780688,0.835870352945538,19322,FedAdagrad,balanced,1,0,0,1954324947
11,0.7538039540420246,0.5649837395431829,0.7530443756449948,0.7553048338681296,0.7541729109606738,0.7538062409786436,0.7538039540420247,0.7538033994496522,7268,2393,2364,7297,0.7553048338681296,0.7523030742159197,0.7538039540420247,0.8406606676187147,0.8374718433227573,19322,FedAdagrad,balanced,1,0,0,1954324947
12,0.7524065831694442,0.5600791804183267,0.7404121068717342,0.7773522409688438,0.7584326398707332,0.753036427114917,0.7524065831694442,0.7522524133536256,7028,2633,2151,7510,0.7773522409688438,0.7274609253700445,0.7524065831694442,0.8419928056723807,0.8387622018895209,19322,FedAdagrad,balanced,1,0,0,1954324947
13,0.7545802711934583,0.555439259656479,0.7398342272062408,0.7853224303902288,0.7618999799156457,0.7555463184117672,0.7545802711934582,0.7543481104191642,6993,2668,2074,7587,0.7853224303902288,0.7238381119966877,0.7545802711934582,0.8434174064389042,0.8400529997289955,19322,FedAdagrad,balanced,1,0,0,1954324947
14,0.7553565883448918,0.5513112612906771,0.7436302587398775,0.7794224200393334,0.7611057765199374,0.7559495356335316,0.7553565883448918,0.7552148175170086,7065,2596,2131,7530,0.7794224200393334,0.7312907566504503,0.7553565883448918,0.844540919470002,0.8413057735847077,19322,FedAdagrad,balanced,1,0,0,1954324947
15,0.7572197495083325,0.5473541013271767,0.7410281280310378,0.7908084049270262,0.7651094086425316,0.7583857906022922,0.7572197495083325,0.7569455360033737,6991,2670,2021,7640,0.7908084049270262,0.7236310940896388,0.7572197495083325,0.8460713327222937,0.8424963819368902,19322,FedAdagrad,balanced,1,0,0,1954324947
16,0.7547872891005072,0.5433293235612812,0.732590002834735,0.8025049166752924,0.7659553447935191,0.7571291929724653,0.7547872891005072,0.7542276723967596,6831,2830,1908,7753,0.8025049166752924,0.7070696615257219,0.7547872891005072,0.8472612089102214,0.8434940388234349,19322,FedAdagrad,balanced,1,0,0,1954324947
17,0.7588241382879619,0.5400976927342944,0.7408263507656747,0.7961908705102991,0.7675114747555378,0.7602778134855335,0.7588241382879619,0.7584869201734679,6970,2691,1969,7692,0.7961908705102991,0.7214574060656247,0.7588241382879619,0.8479482400804732,0.8440403459873949,19322,FedAdagrad,balanced,1,0,0,1954324947
