round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdagrad,imbalanced,1,0,1,1410143363
1,0.6736,0.6473369777755477,0.06845677190911774,0.6843657817109144,0.12446351931330472,0.526135812970139,0.6787940077170658,0.46193677440591485,6504,3157,107,232,0.6843657817109144,0.6732222337232171,0.6787940077170658,0.7529363413829102,0.10979950532976081,10000,FedAdagrad,imbalanced,1,0,1,1410143363
2,0.7561,0.6169928385143004,0.08726415094339622,0.6548672566371682,0.15400624349635797,0.5357860454287796,0.707259733276663,0.5057581605984448,7339,2322,117,222,0.6548672566371682,0.7596522099161578,0.707259733276663,0.7955530233011173,0.17191532646538693,10000,FedAdagrad,imbalanced,1,0,1,1410143363
3,0.7533,0.59510250639755,0.09543726235741445,0.7404129793510325,0.16908049848433815,0.5417484819249758,0.7470825894581474,0.5121134980238026,7282,2379,88,251,0.7404129793510325,0.7537521995652624,0.7470825894581474,0.8244610282683258,0.1969030209053147,10000,FedAdagrad,imbalanced,1,0,1,1410143363
4,0.7598,0.5771164333237923,0.09754194303550527,0.7374631268436578,0.17229496898690558,0.5427873759819183,0.7490234586707679,0.5159053509105777,7348,2313,89,250,0.7374631268436578,0.760583790497878,0.7490234586707679,0.8297897546898868,0.2069505241371714,10000,FedAdagrad,imbalanced,1,0,1,1410143363
5,0.772,0.5632981101803068,0.10078157136980666,0.7227138643067846,0.17689530685920576,0.5441812467761967,0.7482216459511358,0.5222839854087091,7475,2186,94,245,0.7227138643067846,0.773729427595487,0.7482216459511358,0.833258067973322,0.21257941183981152,10000,FedAdagrad,imbalanced,1,0,1,1410143363
6,0.7597,0.5558921184903763,0.09624413145539906,0.7256637168141593,0.1699481865284974,0.5418754241371568,0.7432790170863054,0.5147314741470315,7351,2310,93,246,0.7256637168141593,0.7608943173584515,0.7432790170863054,0.8263504483403301,0.1998134655829408,10000,FedAdagrad,imbalanced,1,0,1,1410143363
7,0.7719,0.5437858831889264,0.10139573070607553,0.7286135693215339,0.17801801801801803,0.5446164269606527,0.7510162350282237,0.5227971077027681,7472,2189,92,247,0.7286135693215339,0.7734189007349136,0.7510162350282237,0.8369395058867283,0.21923573510754607,10000,FedAdagrad,imbalanced,1,0,1,1410143363
8,0.7754,0.5342290040725185,0.1041926110419261,0.7404129793510325,0.1826783114992722,0.5462999677525531,0.7585203288226025,0.5262452535933644,7503,2158,88,251,0.7404129793510325,0.7766276782941725,0.7585203288226025,0.8460287522835327,0.24137505847417495,10000,FedAdagrad,imbalanced,1,0,1,1410143363
9,0.7804,0.5255701268631474,0.10640101738024586,0.7404129793510325,0.18606375092661231,0.5474421001048592,0.7611080526607145,0.5295710038877657,7553,2108,88,251,0.7404129793510325,0.7818031259703965,0.7611080526607145,0.8468406410959858,0.24259592093707077,10000,FedAdagrad,imbalanced,1,0,1,1410143363
10,0.7762,0.5188726438193265,0.1035490605427975,0.7315634218289085,0.18141916605705927,0.5457916242884928,0.7546648493059251,0.5259001309261319,7514,2147,91,248,0.7315634218289085,0.7777662767829417,0.7546648493059251,0.8444501644082478,0.24012192297569235,10000,FedAdagrad,imbalanced,1,0,1,1410143363
11,0.7911,0.5077083209485489,0.11076512455516015,0.7345132743362832,0.1925009663703131,0.5495776087172085,0.7637994381204241,0.5362665631254311,7662,1999,90,249,0.7345132743362832,0.7930856019045648,0.7637994381204241,0.8525308855145175,0.2585341733994696,10000,FedAdagrad,imbalanced,1,0,1,1410143363
