round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAdam,balanced,1,0.3,1,428956419
1,0.7320670738018838,0.6693319410895057,0.8270128354725788,0.5868957664838008,0.686565356905007,0.7534310126344123,0.7320670738018838,0.7262989029745806,8475,1186,3991,5670,0.5868957664838008,0.8772383811199669,0.7320670738018838,0.8257895241589158,0.822910436203228,19322,FedAdam,balanced,1,0.3,1,428956419
2,0.7330504088603664,0.644942270369532,0.8251263537906137,0.591450160438878,0.6890148317858434,0.7533714369582253,0.7330504088603664,0.7275883842490737,8450,1211,3947,5714,0.591450160438878,0.8746506572818549,0.7330504088603664,0.8259683961161761,0.823110849877413,19322,FedAdam,balanced,1,0.3,1,428956419
3,0.7447469206086327,0.6203395002244343,0.7690907021736656,0.6995135079184349,0.7326539462272333,0.746766518623615,0.7447469206086326,0.7442235863043475,7632,2029,2903,6758,0.6995135079184349,0.7899803332988303,0.7447469206086326,0.8261801282287472,0.8232913482427513,19322,FedAdam,balanced,1,0.3,1,428956419
4,0.7421591967705207,0.598198003979397,0.7450508012988374,0.7362591864196253,0.7406289046230737,0.7421929198310044,0.7421591967705207,0.7421502209882194,7227,2434,2548,7113,0.7362591864196253,0.748059207121416,0.7421591967705207,0.8268489775654281,0.8239109106449503,19322,FedAdam,balanced,1,0.3,1,428956419
5,0.7398302453162199,0.578785310719121,0.7303638894412408,0.7603767725908291,0.7450682083269943,0.740235917086769,0.7398302453162199,0.7397203657222818,6949,2712,2315,7346,0.7603767725908291,0.7192837180416106,0.7398302453162199,0.8278039684632078,0.8248115639435386,19322,FedAdam,balanced,1,0.3,1,428956419
6,0.7410723527585136,0.561984953985623,0.7314649175114292,0.7618258979401719,0.7463367641839477,0.7414883982805526,0.7410723527585137,0.7409607820708333,6959,2702,2301,7360,0.7618258979401719,0.7203188075768554,0.7410723527585137,0.8291328065730083,0.8261185284369376,19322,FedAdam,balanced,1,0.3,1,428956419
7,0.7423662146775696,0.5475252457034636,0.7363003330305783,0.7552013249146051,0.7456310679611651,0.7425260296832483,0.7423662146775696,0.7423237650805091,7048,2613,2365,7296,0.7552013249146051,0.7295311044405342,0.7423662146775696,0.8307245152111928,0.8276134099537046,19322,FedAdam,balanced,1,0.3,1,428956419
8,0.7459890280509264,0.5350038774940876,0.7420307566962012,0.7541662353793603,0.7480492813141684,0.7460548395708724,0.7459890280509265,0.7459720420346672,7128,2533,2375,7286,0.7541662353793603,0.7378118207224925,0.7459890280509265,0.832921763548715,0.8296608073271645,19322,FedAdam,balanced,1,0.3,1,428956419
9,0.7500776317151434,0.5238824147224488,0.7484574249280131,0.7533381637511645,0.7508898632963632,0.7500882665377719,0.7500776317151434,0.7500749747449156,7215,2446,2383,7278,0.7533381637511645,0.7468170996791222,0.7500776317151434,0.8359638510863474,0.8324969251555543,19322,FedAdam,balanced,1,0.3,1,428956419
10,0.7523030742159197,0.513634060090562,0.7494116443262049,0.7580995756132906,0.7537305752804363,0.7523369877301775,0.7523030742159197,0.7522947514611448,7212,2449,2337,7324,0.7580995756132906,0.7465065728185488,0.7523030742159197,0.8395314761127832,0.8357387106274925,19322,FedAdam,balanced,1,0.3,1,428956419
11,0.7565469413104233,0.5040043932392496,0.7514456731256974,0.7666908187558223,0.7589916999692592,0.7566525777144599,0.7565469413104233,0.7565218878388594,7211,2450,2254,7407,0.7666908187558223,0.7464030638650243,0.7565469413104233,0.8436583451975067,0.8394358646998938,19322,FedAdam,balanced,1,0.3,1,428956419
12,0.7613601076493116,0.49475853604515185,0.7536668675909183,0.7765241693406479,0.7649248024471068,0.7616007267075001,0.7613601076493117,0.7613052200789846,7209,2452,2159,7502,0.7765241693406479,0.7461960459579754,0.7613601076493117,0.8482587883692535,0.8434630335581859,19322,FedAdam,balanced,1,0.3,1,428956419
13,0.7657592381741021,0.4859089766963109,0.7566216891554223,0.7835627781803126,0.7698566053086545,0.7660966125287683,0.7657592381741021,0.765684968267142,7226,2435,2091,7570,0.7835627781803126,0.7479556981678915,0.7657592381741021,0.8530829205930329,0.8475917764259255,19322,FedAdam,balanced,1,0.3,1,428956419
14,0.7709346858503261,0.47738426075193463,0.759698382776069,0.7925680571369423,0.7757852077001013,0.771442829817116,0.7709346858503261,0.7708274324577526,7239,2422,2004,7657,0.7925680571369423,0.7493013145637097,0.7709346858503261,0.8579668160859107,0.851728516592921,19322,FedAdam,balanced,1,0.3,1,428956419
15,0.7744022357933962,0.4689792880928093,0.7630482238539392,0.7959838526032502,0.7791681442828917,0.7749144191532786,0.7744022357933962,0.7742971110200494,7273,2388,1971,7690,0.7959838526032502,0.752820618983542,0.7744022357933962,0.8629698738374675,0.8558985979723401,19322,FedAdam,balanced,1,0.3,1,428956419
16,0.7797329468999068,0.46075960839850344,0.7707102073524993,0.7963978884173482,0.783343514559153,0.7800440425347999,0.7797329468999068,0.7796717572795765,7372,2289,1967,7694,0.7963978884173482,0.7630680053824656,0.7797329468999068,0.8679495319870684,0.8600036125560626,19322,FedAdam,balanced,1,0.3,1,428956419
17,0.7842355863782217,0.4528470237210146,0.7783296168660044,0.7948452541144809,0.7865007425615814,0.7843636239998382,0.7842355863782218,0.7842112961120926,7474,2187,1982,7679,0.7948452541144809,0.7736259186419625,0.7842355863782218,0.8728139706680633,0.8640233175439,19322,FedAdam,balanced,1,0.3,1,428956419
18,0.7872373460304316,0.4456361277444382,0.7843237704918032,0.7923610392298934,0.7883219195715978,0.7872675116838853,0.7872373460304316,0.7872317603892427,7556,2105,2006,7655,0.7923610392298934,0.7821136528309699,0.7872373460304316,0.8771180081675967,0.8675668309383369,19322,FedAdam,balanced,1,0.3,1,428956419
19,0.7903426146361661,0.4389780266382225,0.7866339668914776,0.796811924231446,0.791690234997686,0.7903912284121817,0.7903426146361661,0.7903338396950195,7573,2088,1963,7698,0.796811924231446,0.783873305040886,0.7903426146361661,0.8809801853263475,0.870808587680417,19322,FedAdam,balanced,1,0.3,1,428956419
20,0.7961391160335369,0.43305787746545266,0.789165150596321,0.8081979091191388,0.7985681411403733,0.7963114679583216,0.7961391160335369,0.7961094673955835,7575,2086,1853,7808,0.8081979091191388,0.784080322947935,0.7961391160335369,0.8843679312697977,0.8737124574514012,19322,FedAdam,balanced,1,0.3,1,428956419
21,0.7998136838836559,0.4279722965696612,0.7930790245876758,0.8113031777248731,0.802087597216537,0.7999720793030549,0.7998136838836559,0.7997872541056508,7616,2045,1823,7838,0.8113031777248731,0.7883241900424387,0.7998136838836559,0.8871243379527798,0.8762185993213238,19322,FedAdam,balanced,1,0.3,1,428956419
22,0.8028671980126281,0.42364061128720093,0.7944254377138257,0.8172031880757685,0.805653349660697,0.8031163846710646,0.8028671980126281,0.8028266748303485,7618,2043,1766,7895,0.8172031880757685,0.7885312079494876,0.8028671980126281,0.8894071705487381,0.8784454210063978,19322,FedAdam,balanced,1,0.3,1,428956419
23,0.8058172031880758,0.41994396840653964,0.7972035006538578,0.820308456681503,0.8085909601061116,0.8060743012276858,0.8058172031880757,0.8057764169294344,7645,2016,1736,7925,0.820308456681503,0.7913259496946485,0.8058172031880757,0.891306716807528,0.8804826041581375,19322,FedAdam,balanced,1,0.3,1,428956419
