round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
1,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
2,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
3,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
4,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
5,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
6,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
7,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
8,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
9,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
10,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
11,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
12,0.6783,0.6712360377755768,0.06941950927588271,0.6843657817109144,0.12605270306981797,0.5266743085580375,0.681226468124891,0.46446026292653836,6551,3110,107,232,0.6843657817109144,0.6780871545388676,0.681226468124891,0.7042740037721228,0.190983762389702,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
13,0.6995,0.6444708265994739,0.08317698561601,0.7846607669616519,0.1504099519366695,0.5362224240047119,0.7405862576139385,0.48393971447286005,6729,2932,73,266,0.7846607669616519,0.6965117482662251,0.7405862576139385,0.7746014676287196,0.22779988639301152,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
14,0.7027,0.6195843600336084,0.08584905660377358,0.8053097345132744,0.15515771526001704,0.5380858186244675,0.7522046033088057,0.4873840878951623,6754,2907,66,273,0.8053097345132744,0.699099472104337,0.7522046033088057,0.7855810501059669,0.24947792540312178,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
15,0.7034,0.6008633884974103,0.08525418377012946,0.7964601769911505,0.1540216771249287,0.5375780651032704,0.7482973693153662,0.48709935559896245,6764,2897,69,270,0.7964601769911505,0.7001345616395819,0.7482973693153662,0.7882695348722887,0.25997768814322864,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
16,0.7341,0.576055083185431,0.09241040056219255,0.775811209439528,0.165149136577708,0.5408934865545098,0.7542237912428982,0.5035082584464514,7078,2583,76,263,0.775811209439528,0.7326363730462685,0.7542237912428982,0.7899766692650773,0.26727474008068786,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
17,0.7553,0.5519105711295862,0.09923954372623574,0.7699115044247787,0.17581677332435164,0.5443280486609469,0.7623493967626429,0.5160688000260417,7292,2369,78,261,0.7699115044247787,0.7547872891005072,0.7623493967626429,0.793141173083153,0.2805678954081867,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
18,0.7697,0.5308714591809885,0.10403225806451613,0.7610619469026548,0.18304363249379213,0.5466304907343857,0.7655325260856303,0.5245001062183762,7439,2222,81,258,0.7610619469026548,0.7700031052686057,0.7655325260856303,0.7966085703581501,0.29359841542934495,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
19,0.7911,0.5068237758244064,0.11317418213969938,0.7551622418879056,0.19684736639753941,0.5512239481388598,0.7737616405588995,0.5383914974409676,7655,2006,83,256,0.7551622418879056,0.7923610392298934,0.7737616405588995,0.7990191992315299,0.3050787126467124,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
20,0.8084,0.48457532866953024,0.12073112073112073,0.7404129793510325,0.2076095947063689,0.5548107061804828,0.7755993061541416,0.5493172532740126,7833,1828,88,251,0.7404129793510325,0.8107856329572508,0.7755993061541416,0.801596846976821,0.3169754774418055,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
21,0.8222,0.4631486129701105,0.1293147861926842,0.7404129793510325,0.22017543859649122,0.5591976586379726,0.7827414239473307,0.5599184190725119,7971,1690,88,251,0.7404129793510325,0.8250698685436291,0.7827414239473307,0.8051417996329249,0.33247786972840027,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
22,0.8284,0.4451960385462198,0.13319126265316994,0.7374631268436578,0.22563176895306858,0.5611173597520436,0.7845270297296645,0.5645702704414466,8034,1627,89,250,0.7374631268436578,0.8315909326156713,0.7845270297296645,0.8073521279944698,0.3422148094141052,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
23,0.8336,0.42974022790211314,0.13738368910782703,0.7404129793510325,0.23176361957525393,0.5633082644731598,0.7886414342982261,0.569229348197406,8085,1576,88,251,0.7404129793510325,0.8368698892454197,0.7886414342982261,0.8084211098419305,0.3484228876663411,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
24,0.8365,0.41709449422846573,0.14,0.7433628318584071,0.23562412342215988,0.5646951219512195,0.7915654859012562,0.5720419480556296,8113,1548,87,252,0.7433628318584071,0.8397681399441052,0.7915654859012562,0.8086901109866357,0.35585361369740803,10000,FedAdam,imbalanced,0.39,0.3,0,428956419
