round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedAvg,balanced,0.39,0.3,1,794161987
1,0.808249663595901,0.4226510005631762,0.8051229508196721,0.8133733567953628,0.8092271252767622,0.8082820359620217,0.8082496635959011,0.8082446295894293,7759,1902,1803,7858,0.8133733567953628,0.8031259703964393,0.8082496635959011,0.8978433270436903,0.8949260194241202,19322,FedAvg,balanced,0.39,0.3,1,794161987
2,0.824190042438671,0.39677793084194674,0.8155985489721886,0.8378014698271401,0.8265509318355885,0.8244304726133554,0.824190042438671,0.8241574639239855,7831,1830,1567,8094,0.8378014698271401,0.8105786150502018,0.824190042438671,0.9066567378355632,0.9024915168095518,19322,FedAvg,balanced,0.39,0.3,1,794161987
3,0.8254839043577269,0.38970404855886603,0.8190118697372426,0.835627781803126,0.8272363971718414,0.825617926416429,0.8254839043577269,0.8254659451089783,7877,1784,1588,8073,0.835627781803126,0.8153400269123279,0.8254839043577269,0.9085254381904924,0.9061100627248276,19322,FedAvg,balanced,0.39,0.3,1,794161987
4,0.8259496946485871,0.3877874022548398,0.8280891852469264,0.822689162612566,0.8253803416584454,0.8259635560130149,0.8259496946485871,0.8259478442880827,8011,1650,1713,7948,0.822689162612566,0.8292102266846082,0.8259496946485871,0.9085453021383069,0.9075904354162623,19322,FedAvg,balanced,0.39,0.3,1,794161987
5,0.8230514439499017,0.3888321550752119,0.8135422945549527,0.8382155056412379,0.825694621463166,0.8233488586352902,0.8230514439499017,0.8230107454890584,7805,1856,1563,8098,0.8382155056412379,0.8078873822585654,0.8230514439499017,0.9073714756773619,0.9054481650022819,19322,FedAvg,balanced,0.39,0.3,1,794161987
6,0.8267260118000207,0.38712649978875846,0.8206847505841715,0.8361453265707484,0.8283429040196882,0.8268420060548244,0.8267260118000207,0.8267106369628221,7896,1765,1583,8078,0.8361453265707484,0.817306697029293,0.8267260118000207,0.9085144348062393,0.9065563545219939,19322,FedAvg,balanced,0.39,0.3,1,794161987
7,0.8260532036021115,0.38726439431660126,0.8223495702005731,0.8317979505227202,0.8270467761025061,0.826096251068873,0.8260532036021115,0.8260474628000949,7925,1736,1625,8036,0.8317979505227202,0.820308456681503,0.8260532036021115,0.9071399439015971,0.9055139950664777,19322,FedAvg,balanced,0.39,0.3,1,794161987
8,0.8257944312183004,0.38417232515533006,0.8237169597860743,0.8290032087775593,0.8263516302104829,0.8258078496190503,0.8257944312183003,0.825792637535148,7947,1714,1652,8009,0.8290032087775593,0.8225856536590415,0.8257944312183003,0.909511114280581,0.9087569886699839,19322,FedAvg,balanced,0.39,0.3,1,794161987
9,0.8234137252872373,0.38453786673760676,0.8236817569667461,0.8229996894731394,0.8233405819612716,0.8234139470530286,0.8234137252872373,0.8234136950158143,7959,1702,1710,7951,0.8229996894731394,0.8238277611013353,0.8234137252872373,0.9079627977614082,0.9061495060206715,19322,FedAvg,balanced,0.39,0.3,1,794161987
10,0.8254321498809647,0.38281806592675666,0.8257355988396188,0.8249663595901046,0.8253507999792885,0.8254324323050214,0.8254321498809647,0.8254321120066118,7979,1682,1691,7970,0.8249663595901046,0.8258979401718248,0.8254321498809647,0.9090346795279336,0.9070030955619259,19322,FedAvg,balanced,0.39,0.3,1,794161987
11,0.8267777662767829,0.3834376757794491,0.82366208734878,0.8315909326156713,0.8276075199587948,0.8268080503633533,0.826777766276783,0.8267737532187753,7941,1720,1627,8034,0.8315909326156713,0.8219645999378946,0.826777766276783,0.9093886306498292,0.9089644992498178,19322,FedAvg,balanced,0.39,0.3,1,794161987
12,0.8272953110444053,0.38486217713760273,0.821015228426396,0.8370769071524687,0.8289682743068013,0.8274206209699547,0.8272953110444053,0.8272787851437837,7898,1763,1574,8087,0.8370769071524687,0.817513714936342,0.8272953110444053,0.9082693711178049,0.9065084718831096,19322,FedAvg,balanced,0.39,0.3,1,794161987
13,0.8245523237760066,0.38402656937336016,0.8232807505928447,0.8265189938929718,0.824896694214876,0.8245573450563725,0.8245523237760066,0.8245516451783776,7947,1714,1676,7985,0.8265189938929718,0.8225856536590415,0.8245523237760066,0.9094172587342738,0.909171204481492,19322,FedAvg,balanced,0.39,0.3,1,794161987
14,0.8224821447055171,0.3855602076821291,0.8159415880742318,0.832833040057965,0.824300788853601,0.8226204082428024,0.8224821447055171,0.8224631232208597,7846,1815,1615,8046,0.832833040057965,0.812131249353069,0.8224821447055171,0.9083639766513543,0.9063533408977418,19322,FedAvg,balanced,0.39,0.3,1,794161987
15,0.8252251319739158,0.38446392432126386,0.82041607179278,0.8327295311044405,0.8265269430317974,0.8252984100031575,0.8252251319739157,0.8252152887970168,7900,1761,1616,8045,0.8327295311044405,0.817720732843391,0.8252251319739157,0.9094253800246961,0.9077505207157912,19322,FedAvg,balanced,0.39,0.3,1,794161987
16,0.8253803954042025,0.3833904283734664,0.8229070364663585,0.8292102266846082,0.826046607547948,0.8253994867321883,0.8253803954042025,0.8253778341147886,7937,1724,1650,8011,0.8292102266846082,0.8215505641237967,0.8253803954042025,0.909352149127549,0.9074807922911401,19322,FedAvg,balanced,0.39,0.3,1,794161987
17,0.8254321498809647,0.3830191607822575,0.8197071384990848,0.8343856743608322,0.826981277250577,0.8255365372090702,0.8254321498809647,0.8254181544224581,7888,1773,1600,8061,0.8343856743608322,0.8164786254010972,0.8254321498809647,0.9093149390462333,0.907469780452931,19322,FedAvg,balanced,0.39,0.3,1,794161987
18,0.8291067177310837,0.3852422015595967,0.8297894409293641,0.8280716281958389,0.8289296445964148,0.8291081281704975,0.8291067177310838,0.8291065346340569,8020,1641,1661,8000,0.8280716281958389,0.8301418072663286,0.8291067177310838,0.9085583733445277,0.9070096318944033,19322,FedAvg,balanced,0.39,0.3,1,794161987
19,0.8271918020908808,0.3831465258992121,0.8268872802481902,0.827657592381741,0.8272722569965341,0.8271920860420396,0.8271918020908808,0.8271917645983033,7987,1674,1665,7996,0.827657592381741,0.8267260118000207,0.8271918020908808,0.9096003841906075,0.9083336353968106,19322,FedAvg,balanced,0.39,0.3,1,794161987
20,0.8278128558120278,0.3859866315047002,0.8246207462074621,0.8327295311044405,0.8286553020549003,0.8278445566705301,0.8278128558120277,0.8278086933117379,7950,1711,1616,8045,0.8327295311044405,0.822896180519615,0.8278128558120277,0.9075526190245555,0.9055858109722401,19322,FedAvg,balanced,0.39,0.3,1,794161987
