round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedAvg,imbalanced,1,0,1,1282538739
1,0.8405,0.3668616042197826,0.1386651323360184,0.7109144542772862,0.23206547905633124,0.5634017987993334,0.7779807754255699,0.571536840404135,8164,1497,98,241,0.7109144542772862,0.8450470965738537,0.7779807754255699,0.8092766617232743,0.297783831526399,10000,FedAvg,imbalanced,1,0,1,1282538739
2,0.913,0.23053381728868194,0.2123510292524377,0.5781710914454278,0.31061806656101426,0.5982984627368281,0.7514600411165655,0.6320941757717015,8934,727,143,196,0.5781710914454278,0.9247489907877031,0.7514600411165655,0.8338440080376689,0.4130848615474752,10000,FedAvg,imbalanced,1,0,1,1282538739
3,0.8935,0.2588235427775984,0.18867924528301888,0.6489675516224189,0.292358803986711,0.5876042819125079,0.7755240407941305,0.6173878367054398,8715,946,119,220,0.6489675516224189,0.9020805299658421,0.7755240407941305,0.8497868295696074,0.3572395826702026,10000,FedAvg,imbalanced,1,0,1,1282538739
4,0.925,0.19781879124077278,0.2503037667071689,0.6076696165191741,0.35456110154905335,0.6179055065419903,0.771902296097285,0.6573739789516155,9044,617,133,206,0.6076696165191741,0.9361349756753959,0.771902296097285,0.892398015437185,0.412818753861323,10000,FedAvg,imbalanced,1,0,1,1282538739
5,0.8806,0.27997428778081557,0.17638152914458743,0.6873156342182891,0.28072289156626506,0.5820840702526716,0.7873489463918275,0.6078096464374401,8573,1088,106,233,0.6873156342182891,0.8873822585653659,0.7873489463918275,0.8619636350756729,0.4004637236555057,10000,FedAvg,imbalanced,1,0,1,1282538739
6,0.8995,0.24239155370871257,0.1983695652173913,0.6460176991150443,0.30353430353430355,0.5924401782921489,0.7772061376229398,0.6246884213689192,8776,885,120,219,0.6460176991150443,0.9083945761308353,0.7772061376229398,0.8718849224705725,0.3659542452080157,10000,FedAvg,imbalanced,1,0,1,1282538739
7,0.9193,0.20211845454789074,0.23469387755102042,0.6106194690265486,0.33906633906633904,0.6101085092953611,0.7703754626987623,0.6480464023996694,8986,675,132,207,0.6106194690265486,0.930131456370976,0.7703754626987623,0.8957243474126885,0.38986208074543466,10000,FedAvg,imbalanced,1,0,1,1282538739
8,0.9079,0.22149270939685667,0.2101593625498008,0.6224188790560472,0.31422189128816086,0.5979654082646736,0.7701681394555673,0.6324285208169378,8868,793,128,211,0.6224188790560472,0.9179173998550875,0.7701681394555673,0.8816981208697561,0.4067833469125591,10000,FedAvg,imbalanced,1,0,1,1282538739
9,0.8922,0.2542590319390845,0.19131161236424393,0.6755162241887905,0.2981770833333333,0.5894079361378188,0.7876597785885471,0.6198966005921432,8693,968,110,229,0.6755162241887905,0.8998033329883035,0.7876597785885471,0.8870106644755744,0.3913708728741088,10000,FedAvg,imbalanced,1,0,1,1282538739
10,0.8462,0.361917286561144,0.1463126843657817,0.7315634218289085,0.24385447394296952,0.5676777148499589,0.7908929830394931,0.5791241645012632,8214,1447,91,248,0.7315634218289085,0.8502225442500776,0.7908929830394931,0.8665913097058116,0.35999338128663577,10000,FedAvg,imbalanced,1,0,1,1282538739
11,0.893,0.25176467855098283,0.195162635529608,0.6902654867256637,0.30429128738621586,0.5916160865410794,0.7951896732872703,0.6231672014874964,8696,965,105,234,0.6902654867256637,0.9001138598488769,0.7951896732872703,0.8929430404579553,0.3885291933694166,10000,FedAvg,imbalanced,1,0,1,1282538739
12,0.9011,0.23468827224842606,0.20128676470588236,0.6460176991150443,0.306937631394534,0.5939108868412715,0.7780342092511356,0.6268441454770548,8792,869,120,219,0.6460176991150443,0.910050719387227,0.7780342092511356,0.8810807311823624,0.4010826907715502,10000,FedAvg,imbalanced,1,0,1,1282538739
13,0.9119,0.2147544761888872,0.2257085020242915,0.6578171091445427,0.3360964581763376,0.6064183877187592,0.7893163798491578,0.644458018623862,8896,765,116,223,0.6578171091445427,0.9208156505537729,0.7893163798491578,0.8990235044711901,0.42867961324692067,10000,FedAvg,imbalanced,1,0,1,1282538739
14,0.9145,0.21000679141793802,0.2334710743801653,0.6666666666666666,0.3458301453710788,0.6104800013176291,0.7949315115757513,0.6500455493345524,8919,742,113,226,0.6666666666666666,0.9231963564848359,0.7949315115757513,0.8972662949504424,0.42324100830229267,10000,FedAvg,imbalanced,1,0,1,1282538739
15,0.89,0.26206441102370714,0.1878589007383101,0.6755162241887905,0.2939666238767651,0.5876659268524713,0.7865211800997778,0.6171600823537389,8671,990,110,229,0.6755162241887905,0.8975261360107649,0.7865211800997778,0.8606928260356468,0.4004981303077773,10000,FedAvg,imbalanced,1,0,1,1282538739
16,0.9214,0.19784480269661203,0.246311010215664,0.640117994100295,0.3557377049180328,0.6164661751374405,0.7856940244800201,0.6569423348871315,8997,664,122,217,0.640117994100295,0.9312700548597453,0.7856940244800201,0.8991068612390724,0.41692258307035124,10000,FedAvg,imbalanced,1,0,1,1282538739
17,0.907,0.22260820019815092,0.21170731707317073,0.640117994100295,0.3181818181818182,0.5990570011549697,0.7782413798262576,0.6341392027161505,8853,808,122,217,0.640117994100295,0.9163647655522202,0.7782413798262576,0.887820415935005,0.40940352450491657,10000,FedAvg,imbalanced,1,0,1,1282538739
18,0.9234,0.1990517051567771,0.25431530494821636,0.6519174041297935,0.3658940397350993,0.6206961477101174,0.7924218011229653,0.6625660066704445,9013,648,118,221,0.6519174041297935,0.9329261981161371,0.7924218011229653,0.8966519586245096,0.4297371360430814,10000,FedAvg,imbalanced,1,0,1,1282538739
19,0.9017,0.23084193658441654,0.2056672760511883,0.6637168141592921,0.31402651779483604,0.5964334583714285,0.7868837667732596,0.630541561800418,8792,869,114,225,0.6637168141592921,0.910050719387227,0.7868837667732596,0.8928031965030461,0.4262814041349348,10000,FedAvg,imbalanced,1,0,1,1282538739
20,0.9165,0.20448864471926267,0.23504273504273504,0.6489675516224189,0.34509803921568627,0.6109569368064514,0.7874275704494457,0.6502526244142517,8945,716,119,220,0.6489675516224189,0.9258875892764724,0.7874275704494457,0.8931815079880515,0.43523307975139025,10000,FedAvg,imbalanced,1,0,1,1282538739
21,0.899,0.24093568399865423,0.2054433713784021,0.6902654867256637,0.3166441136671177,0.5967968465062646,0.7982949418930048,0.6310571826299092,8756,905,105,234,0.6902654867256637,0.9063243970603457,0.7982949418930048,0.8960113633900129,0.39847462319430793,10000,FedAvg,imbalanced,1,0,1,1282538739
22,0.9077,0.21915126193913365,0.21203155818540434,0.6342182890855457,0.3178122690317812,0.5991161574590498,0.7757573176097432,0.6341568450859555,8862,799,124,215,0.6342182890855457,0.9172963461339406,0.7757573176097432,0.8867450220284763,0.4123972581569855,10000,FedAvg,imbalanced,1,0,1,1282538739
23,0.9184,0.19997668980167455,0.23232323232323232,0.6106194690265486,0.33658536585365856,0.6089160348683896,0.7699096724079022,0.6465558688618319,8977,684,132,207,0.6106194690265486,0.9291998757892558,0.7699096724079022,0.8903244776690882,0.41708957684490694,10000,FedAvg,imbalanced,1,0,1,1282538739
24,0.8923,0.2621506077542642,0.1893939393939394,0.6637168141592921,0.29469548133595286,0.5882285175862116,0.782018845957609,0.6181970883646147,8698,963,114,225,0.6637168141592921,0.9003208777559258,0.782018845957609,0.8512212987839376,0.3887336640344887,10000,FedAvg,imbalanced,1,0,1,1282538739
25,0.8912,0.26027233369054803,0.18817651956702747,0.6666666666666666,0.2935064935064935,0.5876670755580335,0.7828727184901494,0.6172841243263778,8686,975,113,226,0.6666666666666666,0.8990787703136321,0.7828727184901494,0.8588134820564634,0.4038586983575674,10000,FedAvg,imbalanced,1,0,1,1282538739
26,0.8971,0.23866590193793422,0.20052083333333334,0.6814159292035398,0.30985915492957744,0.5941573425256178,0.7930420915037468,0.6271322896588565,8740,921,108,231,0.6814159292035398,0.904668253803954,0.7930420915037468,0.8914401759469008,0.41051880058563234,10000,FedAvg,imbalanced,1,0,1,1282538739
27,0.9033,0.23066126119252336,0.20488721804511278,0.6430678466076696,0.31076265146115467,0.5956732419679458,0.7777496359629799,0.6293825087170806,8815,846,121,218,0.6430678466076696,0.91243142531829,0.7777496359629799,0.8745981394647275,0.4128050945372315,10000,FedAvg,imbalanced,1,0,1,1282538739
28,0.9069,0.22363912145097192,0.21206225680933852,0.6430678466076696,0.31894659839063644,0.5992879273346737,0.7796127971264204,0.6344907413678078,8851,810,121,218,0.6430678466076696,0.9161577476451713,0.7796127971264204,0.8836382267420114,0.4063645099666361,10000,FedAvg,imbalanced,1,0,1,1282538739
29,0.9172,0.19929696356174048,0.22803114571746386,0.6047197640117994,0.33117932148626816,0.6066537444882232,0.7664422751329052,0.6435237829049505,8967,694,134,205,0.6047197640117994,0.928164786254011,0.7664422751329052,0.891033162864163,0.4109458609688021,10000,FedAvg,imbalanced,1,0,1,1282538739
30,0.9268,0.18515021548786517,0.2528301886792453,0.5929203539823009,0.3544973544973545,0.6189191682125178,0.7657180177943799,0.6578486984508398,9067,594,138,201,0.5929203539823009,0.9385156816064589,0.7657180177943799,0.8895849535232584,0.41537251853970886,10000,FedAvg,imbalanced,1,0,1,1282538739
31,0.9044,0.22743843525280655,0.20534861509073543,0.6342182890855457,0.31024531024531027,0.5957492544905257,0.7740494198765893,0.6294430591196466,8829,832,124,215,0.6342182890855457,0.9138805506676327,0.7740494198765893,0.8799983145444736,0.383782657513188,10000,FedAvg,imbalanced,1,0,1,1282538739
