round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.5,0.6931471805599453,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0,9661,0,9661,1.0,0.0,0.5,0.5,0.5,19322,FedYogi,balanced,1,0.3,1,1282538739
1,0.7258047821136528,0.6897926409020152,0.844901185770751,0.5531518476348204,0.6685850118853998,0.7563738059345406,0.7258047821136528,0.7173801571034378,8680,981,4317,5344,0.5531518476348204,0.8984577165924853,0.7258047821136528,0.8257564175792252,0.8228610829347824,19322,FedYogi,balanced,1,0.3,1,1282538739
2,0.7343960252561846,0.6853426613617198,0.818539879026586,0.6023186005589484,0.6939773404889684,0.7519785287215137,0.7343960252561847,0.7296804504401503,8371,1290,3842,5819,0.6023186005589484,0.866473449953421,0.7343960252561847,0.8255031468875407,0.8226070206865785,19322,FedYogi,balanced,1,0.3,1,1282538739
3,0.7393127005485974,0.6802370386500131,0.794147582697201,0.6461028878998033,0.7125164088807716,0.7479287904761525,0.7393127005485974,0.7370279814606955,8043,1618,3419,6242,0.6461028878998033,0.8325225131973916,0.7393127005485974,0.8253796025605463,0.8224616813040825,19322,FedYogi,balanced,1,0.3,1,1282538739
4,0.744177621364248,0.6747114857862105,0.7700320512820513,0.6963047303591761,0.731314888297005,0.7464367700203947,0.7441776213642479,0.7435899773632997,7652,2009,2934,6727,0.6963047303591761,0.7920505123693199,0.7441776213642479,0.8254117127286151,0.8224835777259473,19322,FedYogi,balanced,1,0.3,1,1282538739
5,0.742676741538143,0.6689293432329027,0.7499733447062586,0.7280819790911914,0.7388655462184874,0.7428836853270808,0.742676741538143,0.7426219181816779,7316,2345,2627,7034,0.7280819790911914,0.7572715039850947,0.742676741538143,0.8255026218964711,0.8225946557965195,19322,FedYogi,balanced,1,0.3,1,1282538739
6,0.7425214781078563,0.6630468440091063,0.7492553191489362,0.7290135596729117,0.7389958554115734,0.7426986130112752,0.7425214781078564,0.7424744890089578,7304,2357,2618,7043,0.7290135596729117,0.756029396542801,0.7425214781078564,0.8255810062773826,0.8226646982048993,19322,FedYogi,balanced,1,0.3,1,1282538739
7,0.7398819997929821,0.6571199035642893,0.7393369823401839,0.7410205982817514,0.7401778329197684,0.7398832437377857,0.7398819997929821,0.7398816625738738,7137,2524,2502,7159,0.7410205982817514,0.7387434013042128,0.7398819997929821,0.8256071272616174,0.8226844539100526,19322,FedYogi,balanced,1,0.3,1,1282538739
8,0.7398819997929821,0.6512506500970615,0.7391887707709774,0.7413311251423248,0.7402583979328166,0.7398840147844299,0.7398819997929821,0.7398814535533265,7134,2527,2499,7162,0.7413311251423248,0.7384328744436394,0.7398819997929821,0.8256312125661949,0.8226963654920247,19322,FedYogi,balanced,1,0.3,1,1282538739
9,0.7395197184556465,0.6454426007349695,0.7366537124156269,0.7455749922368284,0.7410875045012604,0.7395548528549216,0.7395197184556463,0.739510167246725,7086,2575,2458,7203,0.7455749922368284,0.7334644446744644,0.7395197184556463,0.8257767636616952,0.8228264121862652,19322,FedYogi,balanced,1,0.3,1,1282538739
10,0.7398302453162199,0.6397388975302799,0.7360431947840261,0.747852189214367,0.7419007033937465,0.7398919950356067,0.7398302453162198,0.7398135019029566,7070,2591,2436,7225,0.747852189214367,0.7318083014180726,0.7398302453162198,0.8260179059882635,0.8230437240697468,19322,FedYogi,balanced,1,0.3,1,1282538739
11,0.7393127005485974,0.6341603567919367,0.7339607366929771,0.7507504399130525,0.7422606559893568,0.7394379954651327,0.7393127005485974,0.7392785924834486,7032,2629,2408,7253,0.7507504399130525,0.7278749611841424,0.7393127005485974,0.8262002493150448,0.8232327021184842,19322,FedYogi,balanced,1,0.3,1,1282538739
12,0.7393644550253597,0.6287277459007999,0.7318760653765166,0.7555118517751785,0.7435061627788531,0.7396143617074047,0.7393644550253597,0.7392964796008942,6987,2674,2362,7299,0.7555118517751785,0.7232170582755408,0.7393644550253597,0.8265537183022847,0.8235939398494396,19322,FedYogi,balanced,1,0.3,1,1282538739
13,0.7389504192112618,0.6234570841726088,0.7301824708345798,0.757996066659766,0.7438293550025393,0.7392976273251776,0.7389504192112617,0.7388556925904328,6955,2706,2338,7323,0.757996066659766,0.7199047717627575,0.7389504192112617,0.8269609078042719,0.824006450351331,19322,FedYogi,balanced,1,0.3,1,1282538739
14,0.7395197184556465,0.6183611111718956,0.7302945859872612,0.7595487009626333,0.7446344309706225,0.7399046792347348,0.7395197184556463,0.7394151822135923,6951,2710,2323,7338,0.7595487009626333,0.7194907359486595,0.7395197184556463,0.8274185178771405,0.8244672469337665,19322,FedYogi,balanced,1,0.3,1,1282538739
15,0.7396232274091709,0.6134458523877351,0.7307155670719554,0.7589276472414864,0.7445544554455445,0.739980953217287,0.739623227409171,0.7395261590647956,6959,2702,2329,7332,0.7589276472414864,0.7203188075768554,0.739623227409171,0.8278776172103901,0.8249173507452257,19322,FedYogi,balanced,1,0.3,1,1282538739
16,0.74029603560708,0.6086977367356317,0.7316172802554125,0.7590311561950108,0.7450721398089819,0.7406338901545908,0.74029603560708,0.740204846275799,6971,2690,2328,7333,0.7590311561950108,0.7215609150191492,0.74029603560708,0.8283105098465772,0.8253539779457919,19322,FedYogi,balanced,1,0.3,1,1282538739
17,0.7407618258979402,0.6041238696244684,0.7318580542264753,0.7599627367767312,0.7456456608947342,0.7411174017095778,0.7407618258979403,0.7406662160206878,6971,2690,2319,7342,0.7599627367767312,0.7215609150191492,0.7407618258979403,0.828786933885121,0.8258278430770227,19322,FedYogi,balanced,1,0.3,1,1282538739
18,0.7412793706655626,0.5997228247238416,0.7318480206882833,0.7616188800331228,0.7464367233071265,0.7416792973532051,0.7412793706655625,0.7411722947720587,6965,2696,2303,7358,0.7616188800331228,0.7209398612980022,0.7412793706655625,0.8292813040469601,0.8263202570733146,19322,FedYogi,balanced,1,0.3,1,1282538739
19,0.7413311251423248,0.5954979437404736,0.7314143920595534,0.7627574785218921,0.7467571949736522,0.7417751099478042,0.7413311251423248,0.7412123186630478,6955,2706,2292,7369,0.7627574785218921,0.7199047717627575,0.7413311251423248,0.8297914346549884,0.8268260367306821,19322,FedYogi,balanced,1,0.3,1,1282538739
20,0.7413311251423248,0.591434952685504,0.7299990135148466,0.765966256081151,0.747550257601778,0.7419183962511631,0.7413311251423248,0.7411740463430729,6924,2737,2261,7400,0.765966256081151,0.7166959942034986,0.7413311251423248,0.8303057223351591,0.8273305349807756,19322,FedYogi,balanced,1,0.3,1,1282538739
21,0.7417969154331849,0.5875300782503916,0.7300118156754628,0.7674153814304937,0.7482464550638341,0.7424333571067692,0.7417969154331849,0.7416273439604506,6919,2742,2247,7414,0.7674153814304937,0.7161784494358762,0.7417969154331849,0.8308333276459302,0.8278330447172569,19322,FedYogi,balanced,1,0.3,1,1282538739
22,0.7421591967705207,0.5837800457105295,0.7299262899262899,0.768760997826312,0.7488404920346844,0.7428466040207595,0.7421591967705207,0.741976605013514,6913,2748,2234,7427,0.768760997826312,0.7155573957147293,0.7421591967705207,0.8313693970984345,0.8283374623881242,19322,FedYogi,balanced,1,0.3,1,1282538739
23,0.7425214781078563,0.5801657796426427,0.7302023973275693,0.7692785425939344,0.7492313120620999,0.7432179965640471,0.7425214781078564,0.7423370067356498,6915,2746,2229,7432,0.7692785425939344,0.7157644136217783,0.7425214781078564,0.8319409302333904,0.8288669698303953,19322,FedYogi,balanced,1,0.3,1,1282538739
24,0.7431425318290033,0.5766867675062888,0.7307919041068972,0.7698995963150812,0.7498361812591361,0.7438408339432123,0.7431425318290033,0.7429585054128703,6921,2740,2223,7438,0.7698995963150812,0.7163854673429252,0.7431425318290033,0.8324865245238704,0.8293845872989039,19322,FedYogi,balanced,1,0.3,1,1282538739
25,0.7437118310733879,0.5733418916560994,0.7315825710632439,0.7698995963150812,0.7502521686503933,0.7443822194475149,0.7437118310733879,0.7435359482707748,6932,2729,2223,7438,0.7698995963150812,0.7175240658316945,0.7437118310733879,0.8330616040270715,0.8299313572943359,19322,FedYogi,balanced,1,0.3,1,1282538739
26,0.744177621364248,0.5701335647637384,0.7323222375418554,0.7696925784080323,0.7505425182942216,0.7448151327325333,0.744177621364248,0.7440109691688856,6943,2718,2225,7436,0.7696925784080323,0.7186626643204638,0.744177621364248,0.8336244158818114,0.8304664866966861,19322,FedYogi,balanced,1,0.3,1,1282538739
27,0.7444363937480593,0.5670469963099031,0.7331424622371409,0.7686574888727875,0.7504800404244568,0.7450113485992622,0.7444363937480591,0.744286376423112,6958,2703,2235,7426,0.7686574888727875,0.7202152986233309,0.7444363937480591,0.8342174415083076,0.8310206845391721,19322,FedYogi,balanced,1,0.3,1,1282538739
28,0.7456267467135907,0.564084111825425,0.7350901525658807,0.7680364351516407,0.7512022272842318,0.746121149104787,0.7456267467135907,0.7454989377725623,6987,2674,2241,7420,0.7680364351516407,0.7232170582755408,0.7456267467135907,0.8348080564615251,0.8315766438223817,19322,FedYogi,balanced,1,0.3,1,1282538739
29,0.7461442914812131,0.5612347172335944,0.7369942196531792,0.7654487113135287,0.7509520182787509,0.7465117523761159,0.7461442914812131,0.7460496541866075,7022,2639,2266,7395,0.7654487113135287,0.7268398716488976,0.7461442914812131,0.8353948786221184,0.8321214171063616,19322,FedYogi,balanced,1,0.3,1,1282538739
30,0.7473346444467447,0.558500856469922,0.739404869251578,0.7638960770106614,0.7514509724060686,0.7476062993083712,0.7473346444467446,0.747265324114833,7060,2601,2281,7380,0.7638960770106614,0.7307732118828278,0.7473346444467446,0.8359623939682769,0.8326428139869247,19322,FedYogi,balanced,1,0.3,1,1282538739
31,0.7477486802608425,0.5558763449613969,0.740867465029687,0.7620329158472208,0.7513011531788958,0.7479510473789884,0.7477486802608426,0.7476972005524847,7086,2575,2299,7362,0.7620329158472208,0.7334644446744644,0.7477486802608426,0.8365345270930267,0.8331726688832204,19322,FedYogi,balanced,1,0.3,1,1282538739
32,0.7479556981678915,0.5533537991388106,0.7416036308623298,0.7611013352655005,0.7512259910093992,0.7481272114128806,0.7479556981678915,0.7479121354249849,7099,2562,2308,7353,0.7611013352655005,0.7348100610702826,0.7479556981678915,0.8370974889452149,0.8336864067223999,19322,FedYogi,balanced,1,0.3,1,1282538739
33,0.7486802608425629,0.5509184209586424,0.742848478722329,0.7606872994514026,0.7516620640278204,0.7488237515045519,0.7486802608425629,0.7486440231087242,7117,2544,2312,7349,0.7606872994514026,0.7366732222337232,0.7486802608425629,0.8376775612206282,0.8342197574657064,19322,FedYogi,balanced,1,0.3,1,1282538739
34,0.7495083324707588,0.5485393010747345,0.7437556881383355,0.7613083531725494,0.7524296675191816,0.749647376561482,0.7495083324707588,0.7494734490314039,7127,2534,2306,7355,0.7613083531725494,0.737708311768968,0.7495083324707588,0.8382589834730776,0.8347568798633944,19322,FedYogi,balanced,1,0.3,1,1282538739
35,0.7502846496221923,0.5462384830816152,0.7439959636730575,0.7631715143359901,0.7534617546369629,0.7504510205105619,0.7502846496221923,0.750243172185571,7124,2537,2288,7373,0.7631715143359901,0.7373977849083946,0.7502846496221923,0.838822416745818,0.8352875400030402,19322,FedYogi,balanced,1,0.3,1,1282538739
36,0.7505951764827657,0.5439972573524903,0.7435123717561859,0.7651381844529552,0.7541702800591746,0.750807358585982,0.7505951764827659,0.7505424164331376,7111,2550,2269,7392,0.7651381844529552,0.7360521685125764,0.7505951764827659,0.8393809108168634,0.8358023206917717,19322,FedYogi,balanced,1,0.3,1,1282538739
37,0.7511127212503882,0.5418030652952541,0.7427942353883107,0.7682434530586896,0.7553045336589833,0.7514078358077674,0.7511127212503881,0.7510396608582421,7091,2570,2239,7422,0.7682434530586896,0.7339819894420867,0.7511127212503881,0.8399948503733131,0.8363689168945083,19322,FedYogi,balanced,1,0.3,1,1282538739
38,0.7514232481109616,0.539684884418598,0.741787776229345,0.7713487216644239,0.7562794945958289,0.751823167976682,0.7514232481109615,0.7513245178529127,7067,2594,2209,7452,0.7713487216644239,0.7314977745574992,0.7514232481109615,0.8406047935691723,0.8369320268853058,19322,FedYogi,balanced,1,0.3,1,1282538739
39,0.7520443018321085,0.5376238043686662,0.7412324152962155,0.7744539902701584,0.7574791192103265,0.7525516216056283,0.7520443018321085,0.7519197173689411,7049,2612,2179,7482,0.7744539902701584,0.7296346133940586,0.7520443018321085,0.8412315471933597,0.837509645876733,19322,FedYogi,balanced,1,0.3,1,1282538739
40,0.7529241279370665,0.5356291860991397,0.7408100916527053,0.7780768036435152,0.758986268174475,0.7535658087691319,0.7529241279370665,0.7527677146775964,7031,2630,2144,7517,0.7780768036435152,0.7277714522306179,0.7529241279370665,0.8418873253238196,0.8381193257502046,19322,FedYogi,balanced,1,0.3,1,1282538739
41,0.7531829003208778,0.5337091558633602,0.7397569104097236,0.7811820722492495,0.7599053516588632,0.7539793323978443,0.7531829003208778,0.7529892553512888,7006,2655,2114,7547,0.7811820722492495,0.725183728392506,0.7531829003208778,0.8425241180629489,0.8387006300682508,19322,FedYogi,balanced,1,0.3,1,1282538739
42,0.7539074629955491,0.531820233932554,0.7399256651017214,0.7830452334126902,0.7608750314307267,0.7547726808691724,0.7539074629955491,0.7536983505146597,7002,2659,2096,7565,0.7830452334126902,0.7247696925784081,0.7539074629955491,0.843187546063279,0.8393062405545912,19322,FedYogi,balanced,1,0.3,1,1282538739
43,0.7544767622399338,0.5299715664444787,0.7403460748851305,0.783873305040886,0.7614881850175967,0.7553594445689262,0.7544767622399338,0.7542644081747896,7005,2656,2088,7573,0.783873305040886,0.7250802194389815,0.7544767622399338,0.8438655559584177,0.8399302616161517,19322,FedYogi,balanced,1,0.3,1,1282538739
44,0.7557706241589898,0.528151230703741,0.7414972634870993,0.7853224303902288,0.7627808776956718,0.7566672236027356,0.7557706241589898,0.7555571499565767,7016,2645,2074,7587,0.7853224303902288,0.7262188179277508,0.7557706241589898,0.8445640190770612,0.8405783055983063,19322,FedYogi,balanced,1,0.3,1,1282538739
45,0.7562364144498499,0.5263734215211984,0.7420080164238928,0.7856329572508022,0.7631975867269984,0.7571252003377575,0.7562364144498499,0.7560255823151896,7022,2639,2071,7590,0.7856329572508022,0.7268398716488976,0.7562364144498499,0.8452376576179883,0.8411971055957195,19322,FedYogi,balanced,1,0.3,1,1282538739
46,0.757116240554808,0.5246201290678969,0.7435294117647059,0.7850119035296553,0.7637077689945119,0.757919057998117,0.757116240554808,0.7569270889906808,7045,2616,2077,7584,0.7850119035296553,0.7292205775799606,0.757116240554808,0.8459631845619713,0.8418558447441646,19322,FedYogi,balanced,1,0.3,1,1282538739
47,0.7581513300900528,0.5228884123286629,0.7454241291084432,0.784080322947935,0.7642637340463099,0.7588474357332609,0.7581513300900528,0.757988622774709,7074,2587,2086,7575,0.784080322947935,0.7322223372321706,0.7581513300900528,0.846719685979056,0.8425403622986802,19322,FedYogi,balanced,1,0.3,1,1282538739
