round,global_accuracy,global_logloss,global_precision_bin,global_recall_bin,global_f1_bin,global_precision_macro,global_recall_macro,global_f1_macro,global_tn,global_fp,global_fn,global_tp,global_sensitivity,global_specificity,global_balanced_accuracy,global_roc_auc,global_pr_auc,num-examples,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
0,0.0339,0.6931471805599454,0.0339,1.0,0.0655769416771448,0.01695,0.5,0.0327884708385724,0,9661,0,339,1.0,0.0,0.5,0.5,0.0339,10000,FedYogi,imbalanced,1,0,1,1835732737
1,0.7791,0.6879647674574016,0.10481825866441251,0.7315634218289085,0.1833641404805915,0.5464489511818263,0.7561657291320301,0.527819682266893,7543,2118,91,248,0.7315634218289085,0.7807680364351517,0.7561657291320301,0.8393541041300073,0.2378412091061961,10000,FedYogi,imbalanced,1,0,1,1835732737
2,0.7867,0.6810807066556716,0.10897994768962511,0.7374631268436578,0.189897455374098,0.5487152528481866,0.7629454129198104,0.5335391578131502,7617,2044,89,250,0.7374631268436578,0.7884276989959631,0.7629454129198104,0.8548306773668666,0.2882299859953793,10000,FedYogi,imbalanced,1,0,1,1835732737
3,0.7919,0.6732315027098218,0.11081322609472744,0.7315634218289085,0.19247186651144743,0.5495447217822258,0.7627903021575968,0.5365160227925428,7671,1990,91,248,0.7315634218289085,0.7940171824862851,0.7627903021575968,0.8577939646646691,0.3034321710527048,10000,FedYogi,imbalanced,1,0,1,1835732737
4,0.7773,0.6647801390564194,0.10601001669449082,0.7492625368731564,0.18574040219378427,0.5474158447491392,0.7637731792118603,0.5283755587568979,7519,2142,85,254,0.7492625368731564,0.7782838215505641,0.7637731792118603,0.8475563490224205,0.25663250958905165,10000,FedYogi,imbalanced,1,0,1,1835732737
5,0.7592,0.656049277881964,0.0973141300116777,0.7374631268436578,0.171939477303989,0.5426686381453893,0.7487129318101945,0.5155274264591557,7342,2319,89,250,0.7374631268436578,0.7599627367767312,0.7487129318101945,0.8378029965078705,0.2363924875616363,10000,FedYogi,imbalanced,1,0,1,1835732737
6,0.7513,0.6473324221019542,0.09563253012048192,0.7492625368731564,0.1696160267111853,0.542029228023204,0.7503170152536778,0.511682462047154,7259,2402,85,254,0.7492625368731564,0.7513714936341993,0.7503170152536778,0.8319695494368228,0.2255730778463193,10000,FedYogi,imbalanced,1,0,1,1835732737
7,0.7497,0.6386085456831398,0.09414853713428357,0.7404129793510325,0.1670549084858569,0.541074813972105,0.7452194282947068,0.5098881485647878,7246,2415,88,251,0.7404129793510325,0.7500258772383811,0.7452194282947068,0.8308208748552326,0.22622480857788294,10000,FedYogi,imbalanced,1,0,1,1835732737
8,0.7545,0.6298752767117364,0.09587471352177235,0.7404129793510325,0.1697666553939804,0.5419769124368548,0.7477036431792943,0.5128596229501734,7294,2367,88,251,0.7404129793510325,0.7549943070075562,0.7477036431792943,0.8311539965906166,0.2346077577405784,10000,FedYogi,imbalanced,1,0,1,1835732737
9,0.7543,0.6213171247052635,0.09580152671755725,0.7404129793510325,0.1696519094288611,0.5419387037381824,0.7476001342257699,0.5127351149749786,7292,2369,88,251,0.7404129793510325,0.7547872891005072,0.7476001342257699,0.8301353952072607,0.24353823511180822,10000,FedYogi,imbalanced,1,0,1,1835732737
