round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
6,0.6104477611940299,6.945517751879244,0.025203957390259314,0.7099253731343284,0.041943303250237284,0.48634539397168797,0.6613351057575354,0.383264930183364,153.37985074626863,115.05149253731344,0.5873134328358209,1.5082089552238807,0.7099253731343284,0.6127448383807425,0.6613351057575354,,0.17633005470036706,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
7,0.7495769881556684,1.3344636898905984,0.12985158164211408,0.8333615341229552,0.19784514107053228,0.5575708727627415,0.7920457943870285,0.5214636223465258,208.12859560067682,58.371235194585445,1.6395939086294418,5.255837563451776,0.8333615341229552,0.7507300546511017,0.7920457943870285,0.8783063152058749,0.4295006773412282,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
8,0.7206370272063704,1.34213274124906,0.09915681886313303,0.5992842923499857,0.14091120323832518,0.5437341565801213,0.6616798518622786,0.48045429476675316,156.2919708029197,64.36197743861976,1.1068347710683477,2.4721300597213007,0.5992842923499857,0.7240754113745715,0.7121111723665919,,0.4754958022726558,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
9,0.6945957268537915,3.304776245240716,0.21656387816931771,0.6978361803125325,0.22833835431947686,0.6033263815918554,0.6949153478739667,0.5119195262529037,127.39379974863847,76.51864264767491,0.8282362798491831,4.330540427314621,0.6978361803125325,0.6919945154354011,0.7227745854106237,,0.32804467814359256,48.000000000000014,48.000000000000014,FedAdam,imbalanced,1,0.3,0,1282538739
10,0.7747163695299838,0.5550238089988963,0.08446505970177083,0.6043969323633233,0.13476550250518327,0.5387025040484835,0.6884415369271052,0.4982371359003817,143.8614262560778,42.0032414910859,0.7459481361426257,3.4517828200972445,0.6043969323633233,0.7724861414908872,0.7236927524862624,,0.36773275525783755,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
11,0.6967886482449589,0.923648617492942,0.1401612378402334,0.7927890829300551,0.2065424704310294,0.562370545803623,0.7431418712596445,0.5069061047377688,135.01643017176997,63.19977595220314,0.8588498879761015,5.244585511575803,0.7927890829300551,0.6934946595892337,0.7793629317525496,,0.452353046135012,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
12,0.7783251231527093,0.7404924453272191,0.1668303671046387,0.682508405661115,0.23244371236566674,0.5779588279828504,0.7305053379391951,0.5481245491202061,150.64320900774104,35.69563687543983,0.7691766361717101,3.2698803659394793,0.682508405661115,0.7785022702172754,0.7795904892410953,,0.5281057155728208,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
13,0.6300406955234925,4.061089365603158,0.05122058466193819,0.6060708560153621,0.07718389279638715,0.5182755370312133,0.6206911482215265,0.41823098243444656,138.48390677025526,97.89234184239734,1.5397706252312247,2.2153163152053277,0.6060708560153621,0.6353114404276908,0.6525076484065061,,0.2498839952214539,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
14,0.8281250000000001,0.6009736663776837,0.14208928991973754,0.5288648758015534,0.1856257491531464,0.5629663611158972,0.680707589077254,0.5394109940570827,151.58826013513513,26.40456081081081,1.3053209459459458,3.7618243243243246,0.5288648758015534,0.8325503023529549,0.721670426915092,,0.48572528567983986,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
15,0.6880056278578967,1.7598467156501638,0.07869258721126916,0.5527361956837863,0.11351985664109229,0.5332373829506761,0.6213615373894349,0.458709640515682,145.19521632078792,69.6106225817798,0.9915582131551178,3.1582835033415404,0.5527361956837863,0.6899868790950835,0.705075923601183,,0.3636267862769955,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
16,0.8187329493785995,0.5654615565372849,0.2645413237604714,0.6994060249137546,0.25287329127193026,0.6291484141636904,0.7595015841940759,0.5721135708369408,229.05092452258262,46.629281600485,0.9002728099424067,3.976962715974538,0.6994060249137546,0.8195971434743967,0.7848122844062613,,0.4894349244294779,48.000000000000014,48.000000000000014,FedAdam,imbalanced,1,0.3,0,1282538739
17,0.7351668726823238,2.915315033652127,0.10401642863048545,0.802943477745662,0.15451451675407696,0.5469109455267076,0.7695523790563827,0.49336150902763287,208.62175525339927,87.01205191594562,1.1474042027194067,5.059950556242274,0.802943477745662,0.736161280367104,0.7695523790563827,0.8974526038343389,0.33705292482277377,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
18,0.7849865951742627,0.6155208357182502,0.14035019874265506,0.8089314438912294,0.2131069318265421,0.5634839920177392,0.7960921143321317,0.5406834398759971,135.5265415549598,37.94584450402145,0.7297587131367291,3.869168900804289,0.8089314438912294,0.783252784773034,0.7960921143321317,0.8739116911239057,0.5634763627089319,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
19,0.7674353987218673,1.0996617993746058,0.13028877332920505,0.834827961470779,0.19914230603021715,0.5612734995937576,0.8003632323804875,0.5273671796253957,227.9922200611281,68.67157543762157,1.1205890525145874,5.277299249791609,0.834827961470779,0.7658985032901958,0.8003632323804875,0.8517839149136002,0.3721164866825183,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
20,0.7388203017832646,0.6587475830778595,0.12343759740725939,0.6329044521767069,0.1772635621050488,0.5557232254250227,0.6863835822898658,0.5080891431947866,218.9687242798354,76.02249657064472,1.4685871056241426,5.514128943758574,0.6329044521767069,0.7398627124030247,0.7559309073927465,,0.30018420309505744,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
21,0.7961380183602407,0.6600243924721727,0.10394284837639958,0.548171252134865,0.14625194766701263,0.5453142567943186,0.6735483816851227,0.511243434257315,193.37132003798672,47.58246280468503,1.109528331750554,2.8208293763849324,0.548171252134865,0.7989255112353804,0.7289456593046225,,0.45805642864881885,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
22,0.7863414634146342,1.2060160004994858,0.1327839086237699,0.7631668602400309,0.18192981659092738,0.5605786341563107,0.7760975873128653,0.5259702794093316,222.049756097561,55.59642276422764,1.4364227642276421,5.012682926829269,0.7631668602400309,0.7890283143856996,0.7760975873128653,0.8148314236994203,0.42206528058506826,48.000000000000014,48.000000000000014,FedAdam,imbalanced,1,0.3,0,1282538739
23,0.8227848101265822,1.0782573418233552,0.18355135275257306,0.7632872149387181,0.24171565136005746,0.5835662791769948,0.7966461361087318,0.5672040254778926,162.94541139240505,37.08821202531646,1.3279272151898733,3.5118670886075942,0.7632872149387181,0.8300050572787453,0.8079198702859469,,0.7190333556482643,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
24,0.7636174094344541,2.0931799234211748,0.08095905539074602,0.7831639301537658,0.13734531593136054,0.5396666835600804,0.7713595239071951,0.49492530536177576,195.04326296585873,66.12170966901226,0.2520198071409956,3.7008079228563986,0.7831639301537658,0.7595551176606244,0.7940334879415969,,0.4198153506947052,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
25,0.7235036496350365,3.046111041901665,0.14785267269723468,0.7733479318734793,0.16382179767723384,0.5707728970534897,0.7484990070825447,0.4947992431837721,176.54423357664237,80.7851094890511,0.722043795620438,2.6134306569343067,0.7733479318734793,0.7236500822916099,0.7879150654767052,,0.4586587025550797,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
26,0.7215949188426252,1.0779730594198518,0.13140244852685434,0.6666070168363746,0.19377540475812197,0.5590678457843231,0.6941419247161583,0.5102214783836045,132.74947071277347,58.67078334509527,1.47529992942837,4.941425546930134,0.6666070168363746,0.7216768325959423,0.7592442535799552,,0.3211290132150945,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
27,0.7507350539039529,0.9630854601144619,0.1630748871780687,0.48443228429344076,0.17483582242588414,0.5754939493776314,0.6179351248749873,0.5100349641209931,154.9457693564195,57.56942175759554,0.9121202221496243,2.523358379614505,0.48443228429344076,0.7514379654565339,0.7507348635224881,,0.3205553851036314,48.0,48.0,FedAdam,imbalanced,1,0.3,0,1282538739
28,0.7526075619295958,1.5545570084224596,0.09967454469237771,0.7124701216862234,0.146198664973989,0.5457521252370059,0.7326236767953099,0.49711676501305135,152.25,50.723272490221646,0.6571056062581486,2.8846153846153846,0.7124701216862234,0.7527772319043964,0.7712481878774482,,0.4805028177449617,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
29,0.7691165553080921,1.083215853223209,0.1441417627959917,0.7321605139535593,0.20688650647176354,0.5673587792911701,0.7505567910747771,0.5334044572920191,159.74239049740163,52.84038604305864,0.997772828507795,5.3140311804008915,0.7321605139535593,0.7689530681959946,0.8129175928565142,,0.5447215318142145,48.000000000000014,48.000000000000014,FedAdam,imbalanced,1,0.3,0,1282538739
30,0.864711033274956,0.333913495443524,0.24985382146381074,0.7458237397313002,0.3287674453817311,0.6156199626473503,0.8083432631872729,0.6249920613656219,159.6278458844133,19.975043782837126,1.473292469352014,5.861646234676007,0.7458237397313002,0.8708627866432453,0.8197268008405127,,0.5843483841152473,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
31,0.7160299330445058,1.8873330072763632,0.13669251052507755,0.7202388931499024,0.20305240326176388,0.561920872982791,0.7174608145676926,0.5127107605007946,123.41630563213864,55.064986215045295,1.3154785348562428,4.04923198109492,0.7202388931499024,0.7146827359854827,0.7657081560407133,,0.4384969974726249,47.99999999999999,47.99999999999999,FedAdam,imbalanced,1,0.3,0,1282538739
32,0.8062418725617686,1.238106773513127,0.1629329545971702,0.6617312905511865,0.2327155323572083,0.5721840586991862,0.736530535813924,0.5561772650715537,109.35760728218465,26.953185955786743,1.422626788036411,3.817945383615085,0.6617312905511865,0.8113297810766613,0.736530535813924,0.8401009841004908,0.44892010733939525,48.00000000000001,48.00000000000001,FedAdam,imbalanced,1,0.3,0,1282538739
