round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.8282364933741081,0.414140982837765,0.8198126714807054,0.8421610506247423,0.8301827583144421,0.8287728636769511,0.8284771579816304,0.8277970187872459,113.90451919809718,26.002378525314306,22.140842677539926,118.23870200475707,0.8421610506247423,0.8147932653385184,0.8284771579816304,0.9071823215524805,0.9029992988785003,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0,1,428956419
2,0.8224902327161544,0.39818930353711673,0.8159381454955521,0.8324717068557593,0.8235386175388143,0.8229913122146393,0.8222686927890785,0.8219385009321365,114.10344827586208,26.376762357737388,23.382537795141836,116.47137761168679,0.8324717068557593,0.8120656787223981,0.8222686927890785,0.9049658205085916,0.9036599150167202,48.0,48.0,FedAvg,balanced,0.39,0,1,428956419
3,0.8319741760108734,0.38068510830590097,0.8302793854719369,0.8285975316651661,0.8288345159142114,0.8324805257994696,0.8321230757838327,0.8317237461300093,119.10023785253142,23.426945293917772,23.66258919469929,114.09667006455997,0.8285975316651661,0.8356486199024993,0.8321230757838327,0.9131604358117841,0.9092692912187322,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0,1,428956419
4,0.8241291418861512,0.3911873746754744,0.8178123452495343,0.8233839885604094,0.8198370380626174,0.8243261847632286,0.8245175269514219,0.8237087411698968,118.33865760407816,25.09685641461343,24.187085811384875,112.61614273576892,0.8233839885604094,0.825651065342434,0.8245175269514219,0.9069061073862807,0.9018865295019747,47.99999999999997,47.99999999999997,FedAvg,balanced,0.39,0,1,428956419
5,0.8336448598130839,0.37288065145571336,0.8250006603184716,0.8447259538471977,0.8344281893543336,0.8337180049930176,0.8336093956760395,0.8332083856332746,115.61869158878504,24.9964316057774,21.617502124044176,118.00611724723878,0.8447259538471977,0.8224928375048818,0.8336093956760395,0.9147023942201842,0.9125711199656956,47.99999999999997,47.99999999999997,FedAvg,balanced,0.39,0,1,428956419
6,0.8260278627251105,0.38206516119004574,0.8258592072236196,0.8304586960101786,0.8275806798927094,0.8261752828217513,0.8258400999520685,0.8254179800920229,113.90689772341146,24.80954808019029,23.950730547060818,117.61926605504587,0.8304586960101786,0.8212215038939589,0.8258400999520685,0.9098975799684865,0.9108401557483599,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0,1,428956419
7,0.8144119646498982,0.39185095299528877,0.8132974521625338,0.8131241948200486,0.8126412350987227,0.814508952328787,0.8142466690531069,0.8138224092676036,114.906186267845,25.999660095173354,26.000849762066625,113.28433038749152,0.8131241948200486,0.815369143286165,0.8142466690531069,0.9039828408310817,0.9016458531638654,48.0,48.0,FedAvg,balanced,0.39,0,1,428956419
8,0.8302207130730052,0.37211460383674166,0.8232666965647627,0.8362045066451848,0.8289141825918992,0.8304040357765432,0.830748530764427,0.8297641191907431,117.42818336162988,24.86027164685908,22.759252971137514,115.42937181663835,0.8362045066451848,0.8252925548836695,0.830748530764427,0.9158139970961826,0.9144511668904847,48.0,48.0,FedAvg,balanced,0.39,0,1,428956419
9,0.8373790527923952,0.370002469504041,0.8432206130912199,0.8371900255913803,0.8398297981206084,0.8372781263213245,0.8370186176099352,0.836756598198674,114.95518587676116,22.334408419623156,23.288066542182992,119.94703785435412,0.8371900255913803,0.8368472096284905,0.8370186176099352,0.915668905815453,0.9199560303727052,47.99999999999999,47.99999999999999,FedAvg,balanced,0.39,0,1,428956419
10,0.8235394021739131,0.3844195771237184,0.8202048838066404,0.8256914172646275,0.8226547314475736,0.82324449985087,0.8235270370931659,0.8230841695141962,115.99881114130437,25.191406250000004,24.286005434782606,114.90557065217389,0.8256914172646275,0.8213626569217042,0.8235270370931659,0.9082144422295528,0.9082224625156521,47.999999999999986,47.999999999999986,FedAvg,balanced,0.39,0,1,428956419
11,0.8196804894629505,0.3920432851501455,0.8253051109523724,0.8143570958296784,0.8190535747367453,0.8201399235028209,0.8198044647548195,0.8191822987417365,114.71295037389531,24.334636301835488,26.18660774983005,114.95683208701563,0.8143570958296784,0.8252518336799605,0.8198044647548195,0.9037377166941569,0.9029023387788283,48.0,48.0,FedAvg,balanced,0.39,0,1,428956419
