round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.7553758137699742,0.8678587241939184,0.13101783662651925,0.81357081795038,0.20798347947901538,0.5612180095151847,0.783959128993642,0.5284782089750689,105.47839810613532,34.466758729532444,0.9706056421384888,3.9137897021108703,0.81357081795038,0.7543474400369039,0.783959128993642,0.8509184884972534,0.4924579306856231,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
2,0.8001578220556322,0.6111652753406989,0.1697735779592159,0.8183489276554968,0.2613488189171327,0.5800544823987261,0.8095929153228376,0.5713168294286771,111.59479187216411,27.836259617281502,1.1136318800552378,4.284868810416255,0.8183489276554968,0.8008369029901781,0.8095929153228376,0.8869993630784476,0.5153564997513123,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
3,0.8119944762280528,0.6201132419662598,0.15997809627780488,0.7751552386588885,0.2534208664924891,0.5755754161171172,0.7939306511089005,0.5702402948765768,113.64667587295321,26.212467942394944,1.0282106924442693,3.942197672124679,0.7751552386588885,0.8127060635589124,0.7939306511089005,0.8768936276547897,0.49359430352753686,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
4,0.8183073584533439,0.7575413153324938,0.1753692174841491,0.7796094416532374,0.26915443531113076,0.5832325399526866,0.7995518822638422,0.5804574995809866,114.48471098836062,25.259814559084628,1.0564213848885382,4.02860524758335,0.7796094416532374,0.8194943228744475,0.7995518822638422,0.883753429624437,0.5343544427363615,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
5,0.825409350956796,0.5817217703493487,0.16519682174081957,0.7675055660457121,0.2517690059058385,0.578681235406985,0.7967092976299238,0.5738713985713852,115.82284474255275,24.37818110080884,0.9133951469717893,3.7151311895837438,0.7675055660457121,0.825913029214136,0.7967092976299238,0.9003512639394534,0.5402864403624329,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
6,0.8492799368711776,0.6082071310997017,0.2265257993146124,0.8008822691304441,0.3291237448453567,0.6088871394821941,0.8262099278018575,0.6205941072551521,119.02367330834484,20.77786545669757,1.0568159400276187,3.9711974748471106,0.8008822691304441,0.8515375864732706,0.8395261637458307,,0.5379092372230488,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
7,0.8451371079108304,0.6330940940849207,0.2208434244012105,0.7852370191786252,0.32673107677267754,0.6049590668588345,0.8167572858117734,0.6182813055830366,117.97968041033735,21.10692444269086,1.313868613138686,4.429078713750245,0.7852370191786252,0.8482775524449213,0.8167572858117734,0.8722286652177245,0.5488362604439955,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
8,0.8230420201223121,0.5948016078806552,0.19738874551410832,0.8439799027390269,0.30125439567477824,0.5947806362416942,0.8335266195222448,0.5988269048391066,114.8553955415269,24.716906687709606,0.9135924245413298,4.343657526139277,0.8439799027390269,0.8230733363054632,0.8335266195222448,0.8957385806536091,0.5306698429928227,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
9,0.8480962714539357,0.6200114396366109,0.22088100549640982,0.814265673389761,0.32026343183219835,0.6067652206825299,0.8316493554958689,0.6149361150995392,118.99033339909248,21.12625764450582,0.8845926218188991,3.8283685144999007,0.814265673389761,0.849033037601977,0.8316493554958689,0.9228394579728464,0.5746728251165296,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
10,0.8405997238114025,0.5331921934371849,0.19382086785783167,0.8024153549700995,0.29671248183197124,0.5926120994801467,0.8219342111324601,0.601894574263988,117.45531663049911,22.08995857171039,0.9996054448609195,4.284671532846715,0.8024153549700995,0.8414530672948212,0.8353490858612036,,0.5426138590370376,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
11,0.8153481949102386,0.8421655224499791,0.15857806228405968,0.8510180931713779,0.25523302488706384,0.5762113208504116,0.8330947382237919,0.5731933467406486,114.36733083448408,26.00651015979483,0.7421582166107713,3.713552969027422,0.8510180931713779,0.8151713832762058,0.8330947382237919,0.896179137759294,0.47796439496020804,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
12,0.8451371079108304,0.6075408257791733,0.22443628479604935,0.8485105543499705,0.33211693382863455,0.6091170819760676,0.8465531835102659,0.6202823382790378,118.25251528901161,21.75004931939238,0.6855395541526927,4.1414480173604264,0.8485105543499705,0.8445958126705615,0.8465531835102659,0.9177880701787229,0.5426169466548895,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
13,0.8640757545867034,0.5545567393401483,0.23342962035102346,0.7741898311241378,0.32851094086568844,0.6126755300855802,0.82036052953052,0.6245716714361272,121.67981850463603,18.693430656934304,0.9992108897218387,3.4570921286249763,0.7741898311241378,0.8665312279369026,0.82036052953052,0.9092492114897673,0.5509620556276539,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
14,0.8289603472085224,0.7552579930262945,0.18839334069329883,0.8068173491531155,0.2883207361332598,0.5900257311566129,0.8184769458940925,0.5934313946909976,116.39416058394158,23.836456894851057,0.9425922272637604,3.656342473860722,0.8068173491531155,0.8301365426350692,0.8184769458940925,0.8971770652762783,0.5639805549755307,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
15,0.8275794042217396,0.6027106263571099,0.18339116701619082,0.8760317930025959,0.2902478845030165,0.5889746081580498,0.8510854392907437,0.5939725272448731,115.84691260603668,24.354310514894443,0.6281317814164528,4.00019727756954,0.8760317930025959,0.8261390855788915,0.8510854392907437,0.9066410222690602,0.5670873337192219,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
16,0.8520418228447425,0.3601073873730809,0.18985426686558482,0.7932491145994794,0.287479611253097,0.5911089481187508,0.8233336182502083,0.6009415669978656,119.42237127638589,20.493785756559472,0.941408561846518,3.971986585125271,0.7932491145994794,0.8534181219009371,0.8233336182502083,0.9333482754869437,0.5540987579720109,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
17,0.8449398303412902,0.5739563988701119,0.22644698343505637,0.8516333330201942,0.33321580587275595,0.6095633885882914,0.8484703840822813,0.6213475492518927,118.13809429867821,21.578615111461826,0.8847898993884395,4.228052870388636,0.8516333330201942,0.8453074351443683,0.8484703840822813,0.9197699204121398,0.5504292074992717,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
18,0.8283685144999015,0.7203498189467714,0.20706280435977603,0.8439732485352923,0.31392876060136654,0.6002961047620167,0.8357883800878387,0.6066069463978312,115.31485500098638,24.086999408167287,0.7701716314855003,4.657526139277963,0.8439732485352923,0.8276035116403853,0.8487100608927312,,0.5537602199693661,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
19,0.8459262181889919,0.5129874813847481,0.2096619075430034,0.8136951341330904,0.31021767246371473,0.6002779227614932,0.8309452993890533,0.6110245382907131,118.25724995068059,21.20102584336161,1.1132373249161571,4.258039060958769,0.8136951341330904,0.8481954646450163,0.8309452993890533,0.8992043684158415,0.5371665235012626,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
20,0.8313276780430066,0.44212292500912964,0.18844537868812347,0.8300265855010382,0.29575226477455,0.5901398854623343,0.8308422024698351,0.5988189352149307,115.93627934503847,23.465377786545663,0.9706056421384891,4.457289406194516,0.8300265855010382,0.8316578194386319,0.8308422024698351,0.9088700164794287,0.5427416165647785,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
21,0.8402051686723218,0.5834444645962397,0.19610323657773768,0.8476605385364512,0.2957864942006758,0.5950892425145259,0.8438803883350738,0.6007343372482117,117.97395936082067,22.427105938054844,0.7135529690274216,3.7149339120142044,0.8476605385364512,0.8401002381336973,0.8438803883350738,0.9307921272162627,0.5687733666126223,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
22,0.8208719668573682,0.6565975895556684,0.1915163364942243,0.833745580825873,0.2906269817686195,0.5923948776850252,0.8270058630117934,0.5923492995181324,114.58808443479977,25.158019333201807,0.7991714342079306,4.284276977707634,0.833745580825873,0.820266145197714,0.8393357111080648,,0.49485476762133707,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
23,0.8388242256855395,0.6938183418231778,0.20417131897652038,0.7987827504250863,0.30289311488574633,0.598232592719613,0.8195645549803434,0.6038127820647753,117.71276385874926,22.403432629709997,0.9431840599723814,3.7701716314854994,0.7987827504250863,0.8403463595356009,0.8195645549803434,0.9050663222968476,0.5520197448245835,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
24,0.8508581574275003,0.5389022865336273,0.20041381421484392,0.7851086748896969,0.2995837772186951,0.5963485516875553,0.8186289388857045,0.6065653798924808,119.05267311106724,20.63483921878082,0.9704083645689484,4.171631485500098,0.7851086748896969,0.8521492028817119,0.8186289388857045,0.9007738357096358,0.5100890646543002,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
25,0.8380351154073782,0.5363929350242765,0.19044364966192454,0.8120984383758109,0.282646141566218,0.5917502554773736,0.8256981479976945,0.5939009542032392,117.6245807851647,22.575853225488252,0.885579009666601,3.7435391595975545,0.8120984383758109,0.8392978576195782,0.8256981479976945,0.9077609451750684,0.5693619300438836,47.999999999999986,47.999999999999986,FedAvg,imbalanced,1,0.3,1,1835732737
26,0.8356677845728938,0.45161314031741007,0.18277694567805136,0.7928919012860619,0.28138429273838794,0.5873346153151879,0.8147386957333641,0.5928986854731464,117.03057802327879,22.828368514499896,0.9708029197080295,3.99980272243046,0.7928919012860619,0.8365854901806661,0.8147386957333641,0.888808628476017,0.5075524314350196,47.99999999999999,47.99999999999999,FedAvg,imbalanced,1,0.3,1,1835732737
