round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
1,0.8150017403411068,0.42293747871720205,0.8098669856335591,0.8228701700637633,0.8158142000752469,0.8155082001248862,0.8149464729749821,0.8146372470183922,113.14636268708665,27.073877479986088,24.780630003480677,115.29255134006262,0.8228701700637633,0.8070227758862004,0.8149464729749821,0.896763993811928,0.8967374869402602,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
2,0.8151757744517923,0.42136931047317533,0.8104895682606102,0.8217619677688978,0.8151439946259262,0.8159551159757209,0.8156474904262677,0.814825605269806,113.83057779324749,26.878089105464667,24.927079707622692,114.65767490428121,0.8217619677688978,0.8095330130836375,0.8156474904262677,0.8985551424094801,0.894937981693123,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
3,0.81569787678385,0.4213076183760024,0.8094779187933996,0.8254740978466257,0.8166391257521661,0.8165458488841842,0.8157033716188482,0.8152661863490123,113.19665854507484,27.243560737904623,24.41707274625826,115.43612948137834,0.8254740978466257,0.8059326453910711,0.8157033716188482,0.8991095829105628,0.8950913779076425,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
4,0.8271841280891052,0.4041106830675392,0.8202417199542813,0.8376787421621252,0.8281819957737198,0.8277906232531471,0.8271931187288926,0.826705608426793,114.66011138183083,25.73137835015662,22.705621301775153,117.19631047685344,0.8376787421621252,0.8167074952956596,0.8271931187288926,0.9094931351249368,0.9063483909189882,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
5,0.8198746954403061,0.42001824959714223,0.8140613422073429,0.8335226944885247,0.8227733929177761,0.820876142409294,0.8196376399614855,0.8191849674876157,111.92751479289939,27.021841280891053,23.46580229725026,117.87826313957537,0.8335226944885247,0.8057525854344456,0.8196376399614855,0.9000769754675475,0.8978165296345768,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
6,0.815523842673164,0.4202311604568425,0.8097673016314664,0.822562969196882,0.8149524351045557,0.8165258171276077,0.815799911665138,0.8149592871620942,114.07161503654717,26.999651931778626,24.708753915767485,114.5134006265228,0.822562969196882,0.809036854133393,0.815799911665138,0.8992029122242247,0.8957080919544241,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
7,0.8225722241559348,0.4156247632781974,0.8206207191821132,0.823670785699361,0.8212650205839244,0.8236411542797043,0.8224844578759827,0.8221635182344375,115.92638357117994,25.219021928297945,24.51079011486251,114.63722589627567,0.823670785699361,0.8212981300526042,0.8224844578759827,0.9020100134341682,0.8978727221164835,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
8,0.8208318830490773,0.4146312239018325,0.823848330075468,0.822548580165885,0.8224511199559391,0.8214205994306715,0.8206685313796209,0.8202797841340785,113.24530107901145,25.048555516881315,25.17072746258267,116.82883745214059,0.822548580165885,0.8187884825933569,0.8206685313796209,0.9029613035330064,0.9020703335605631,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
9,0.8142185868430211,0.42116163110369426,0.805817790810294,0.8260800666203967,0.8150408849960754,0.8152635692820517,0.814463865984811,0.8139294854982222,113.31796032022275,27.853202227636604,24.219544030630004,114.90271493212668,0.8260800666203967,0.8028476653492247,0.814463865984811,0.8986732244314954,0.896247100341547,47.99999999999995,47.99999999999995,FedYogi,balanced,1,0.3,1,1954324947
10,0.8189175078315349,0.41353780104703247,0.811243469239336,0.8261830991800547,0.8181591178496874,0.8190552988221101,0.8187683619338886,0.8183412727347975,114.80777932474767,26.68116950922381,24.071789070657847,114.73268360598678,0.8261830991800547,0.8113536246877224,0.8187683619338886,0.9017685532770315,0.8980302402065471,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
11,0.8202227636616775,0.4091788998001861,0.8100946247384339,0.8281956935031004,0.8184007376905916,0.8207454532056182,0.8203874122560926,0.8198338366067689,116.02271145144448,26.755308040375915,23.634093282283324,113.88130873651237,0.8281956935031004,0.8125791310090843,0.8203874122560926,0.9055003964378922,0.9025942897559288,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
12,0.8188304907761921,0.4164091697034087,0.8119603943896038,0.8267673428709658,0.8184935724900562,0.81939852379861,0.8187893864448573,0.8182396950762307,114.38974939088062,26.68334493560738,24.095979812043158,115.12434737208491,0.8267673428709658,0.8108114300187491,0.8187893864448573,0.9016982162188524,0.8966393321283739,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
13,0.8218760877131918,0.41149770653180506,0.8159157401930239,0.8377859325304802,0.8261284432537505,0.8224168266729708,0.8212584164177804,0.8210317088876764,111.16959624086321,26.925774451792556,22.999999999999996,119.19805081796031,0.8377859325304802,0.8047309003050805,0.8212584164177804,0.9049150567490163,0.9039905067046317,47.99999999999996,47.99999999999996,FedYogi,balanced,1,0.3,1,1954324947
