round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc,comm_download_bytes,comm_upload_bytes,fl_algo,dataset_balance_type,fraction,failure_rate,iid,seed
3,0.8035714285714286,0.4134640042745469,0.03508771929824561,1.0,0.06779661016949153,0.5175438596491229,0.9010791366906474,0.47900808552386753,223.0,55.0,0.0,2.0,1.0,0.802158273381295,0.9010791366906474,0.9982014388489209,0.8333333333333333,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
4,0.2978723404255319,3.0757751307125525,0.0864292801234704,0.7836879432624114,0.10391129615537009,0.5235868371139805,0.5407210401891254,0.26015865703590424,48.297872340425535,164.51063829787233,1.5106382978723403,4.872340425531915,0.7836879432624114,0.29775413711583926,0.5407210401891254,0.6214834515366431,0.38323331783295933,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
5,0.826923076923077,0.33020288899086675,0.12584190003544843,0.7802197802197802,0.21672771672771673,0.5629209500177242,0.802931387608807,0.5562419628988491,206.84615384615387,28.417582417582416,0.0,3.901098901098901,0.7802197802197802,0.8256429949978338,0.8619973216747411,,0.35369963369963364,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
6,0.9953271028037384,0.09035347634916889,0.0,0.0,0.0,0.4976635514018692,0.5,0.49882903981264637,213.0,0.0,1.0,0.0,0.0,1.0,0.5,0.9906103286384976,0.3333333333333333,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
7,0.8461538461538463,0.4348066908733744,0.15763313609467455,0.5566239316239316,0.24427507975895071,0.5669746375331002,0.7069727509031634,0.5784018481056147,143.68589743589743,21.32051282051282,3.0,4.019230769230769,0.5566239316239316,0.8573215701823949,0.7069727509031634,0.6382286434928188,0.26589806362105695,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
8,0.7656765676567657,0.5767066310223998,0.07793179317931792,0.5021216407355021,0.131950718737152,0.5325737738609025,0.6316048840378918,0.4904147846373693,173.1072607260726,61.34488448844884,2.3795379537953796,6.188118811881187,0.5021216407355021,0.7610881273402815,0.6316048840378918,0.878453733706784,0.40959644858713273,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
9,0.7530674846625767,0.8712162260469276,0.039389564549241834,0.556237218813906,0.07336924255070168,0.5162339284649002,0.6537454026061642,0.4579701858137606,181.06288343558282,75.15644171779141,1.3680981595092025,3.9432515337423313,0.556237218813906,0.7512535863984222,0.6537454026061642,0.847646938599351,0.45619962773528866,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
10,0.8666666666666668,0.3272437384423369,0.15932539682539684,0.5468253968253969,0.22413512413512415,0.5769499995834947,0.7079939431913116,0.5745140865093414,151.8571428571429,18.71666666666667,0.8547619047619048,3.0047619047619047,0.5468253968253969,0.8691624895572264,0.7556129908103593,,0.510243509358251,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
11,0.5513307984790874,1.8332736556206366,0.032460027079440235,0.9220532319391634,0.062697758515249,0.512127552062834,0.7329211915638592,0.35881128329270484,147.02661596958174,113.20152091254752,0.467680608365019,3.403041825095057,0.9220532319391634,0.5437891511885549,0.7329211915638592,0.8067738964721759,0.6089318744712615,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
12,0.5653710247349824,5.197604977277282,0.0781954429145851,0.9434628975265018,0.0855908912446015,0.5296748710450428,0.7583024505156711,0.40025452526975625,117.26148409893993,100.87985865724382,0.508833922261484,1.5088339222614842,0.9434628975265018,0.5731420035048407,0.7583024505156711,0.9667295495098649,0.36708666976802495,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
13,0.5536480686695279,1.757133404882888,0.19912293683743176,0.771101573676681,0.26792979756526236,0.5814403430014532,0.6611905963601046,0.4694039106975005,40.8068669527897,43.84978540772532,1.0987124463519313,4.652360515021459,0.771101573676681,0.5512796190435283,0.6611905963601046,0.7887008655603371,0.630873236009579,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
14,0.7667731629392971,0.6637929589060785,0.08654164110797098,0.6931132410365637,0.15101638904470405,0.5384923791037841,0.7290923864303149,0.5038411743061253,179.17731629392972,62.215654952076676,1.8338658146964857,9.178913738019169,0.6931132410365637,0.7650715318240664,0.7290923864303149,0.7589894123664476,0.27269061734423095,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
15,0.7199999999999999,0.8782633243262284,0.07748525737131434,0.5706666666666667,0.1266846846846847,0.5387426286856571,0.6415003579098066,0.47894292873808897,68.624,29.106666666666662,0.0,2.501333333333333,0.5706666666666667,0.7123340491529468,0.80283369124314,,0.3165209494368977,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
16,0.7468354430379747,1.9166500430744036,0.1826173123641478,0.9428035630567276,0.2711503217832332,0.5886822891795768,0.8434449687316508,0.558446229212322,84.38396624472574,29.10126582278481,0.5147679324894515,4.60337552742616,0.9428035630567276,0.744086374406574,0.8434449687316508,0.9716548631077588,0.7937136839562999,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
17,0.6480769230769231,1.105856747539207,0.11809134371463137,0.8037820512820513,0.19213064180806116,0.5515270132219514,0.7233832025103736,0.483241812681996,146.46923076923076,97.40192307692307,1.8173076923076923,6.823076923076923,0.8037820512820513,0.6429843537386959,0.7233832025103736,0.7781867004548783,0.42961519935687836,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
18,0.7242990654205608,2.026667696843385,0.06361512319456245,1.0,0.11640706126687435,0.5318075615972813,0.8604974535288024,0.4749591237777734,75.62616822429906,30.509345794392523,0.0,1.4626168224299065,1.0,0.7209949070576045,0.8604974535288024,0.9976153772039695,0.9228971962616822,48.0,48.0,FedYogi,imbalanced,0.39,0.3,0,1954324947
19,0.9590517241379309,0.13191083479551266,0.6159688013136289,1.0,0.7551724137931034,0.8079844006568144,0.9765814072473891,0.8641128851916453,329.80172413793105,3.7844827586206895,0.0,3.3103448275862064,1.0,0.9531628144947779,0.9765814072473891,0.9856060606060606,0.9300313479623824,47.99999999999999,47.99999999999999,FedYogi,imbalanced,0.39,0.3,0,1954324947
